Dog breeds,English name,summary,Origins,Lifetime,Weight range,Shoulder height range,Character key words,Precautions for feeding,Common health issues,Grouping,body shape,training,Hair shedding,Sports needs,Is it appropriate to get along with children
Portuguese sheepdog,Portuguese Sheepdog,"native to portugal, medium-sized, long and untidy hair, good at shepherding, lively personality",Portugal,12-15 years,12-18kg,41-56,"Lively, smart, family","1. 2 hours of exercise per day, suitable for outdoor games; 2-Brush the messy coat 2-3 times a week (maintain naturalness); 3 Give enough attention to prevent boredom","hip dysplasia, progressive retinal atrophy, hypothyroidism",herding,medium,4,4,4,Yes
Spanish sheepdog,Spanish Sheepdog,"native to Spain, medium size, long and smooth hair, good at sheep herding, calm personality",Spain,12-14 years,17-20,45-55,"Steady, loyal, smart","1. 1.5 hours of exercise daily, obey training; 2-Brush the long hair twice a week to ensure smoothness. 3 .Integrate into family life and avoid loneliness","hip dysplasia, progressive retina atrophy, gastric torsion",herding,medium,4,3,3,Yes
Hungarian Shepherd (Poly),Puli,"Originating from Hungary, the fur is rope-like, medium-sized, good at sheep herding, unique appearance",Hungary,12-15 years,10-15kg,38-48,"Smart, loyal, vigilant","1. 2 hours of exercise daily, outdoor sheep herding training; 2-Till the rope-like fur once or twice a week to avoid getting wet and knotting. 3. Regularly check the skin to prevent parasites","hip dysplasia, progressive retinal atrophy, skin inflammation",herding,medium,4,5,4,Yes
Hungarian sheepdog (Kermon),Komondor,"Originating from Hungary, the coat is white and rope-like, large in size, good at guarding and shepherding, calm personality",Hungary,10-12 years,36-60,63-76,"Steady, loyal, brave","1. 2 hours of exercise daily, guard training; 2-Twice a week to tidy up the rope-like fur to prevent dirt. 3 Early social defense against stranger attacks","hip dysplasia, progressive retina atrophy, gastric torsion",herding,large,4,5,4,No
Akita Dog (Japan),Akita Inu (Japanese Type),"Japanese native dog, large size, thick coat, loyal character, excellent guard dog",Japan,10-13 years,34-54,61-71,"Loyalty, steady, brave","1. 2 hours of exercise daily, outdoor walking (requires a rope); 2-Brush the thick coat 2-3 times a week, and comb it daily during the shedding period. 3 .Strictly trained to defend the territory too strong","hip dysplasia, hypothyroidism, progressive retinal atrophy",working,large,3,4,4,No
Akita Dog (U.S.),Akita (American Type),"Akita variant cultivated in the United States, with a thicker body, fluffier coat, and more lively personality",United States,10-13 years,34-54,61-71,"Lively, loyal, brave",1. Exercise for 2 hours a day and follow the training; 2-Brush and remove hair 2-3 times a week. 3 Early social protection is not friendly to pets,"hip dysplasia, elbow dysplasia, hypothyroidism",working,large,3,4,4,No
Siberian Sled Dog (Husky),Siberian Husky,"Native to Siberia, medium size, thick hair, good at sledding, lively personality",Siberia (Russia),12-15 years,16-27,50-60,"Lively, mischievous, family","1.-2.5 hours of exercise per day, including running. 2-Brush the thick coat 2-3 times a week, and comb it daily during the shedding period. 3 .Leave the dog to prevent getting lost","hip dysplasia, cataracts, skin allergies",working,medium,3,4,5,Yes
Alaskan Sled Dog,Alaskan Malamute,"Native to Alaska, larger than Husky, thicker fur, more stable personality, strong sled pulling ability",United States (Alaska),10-12 years,34-38,58-64,"Steady, loyal, gentle","1. 2.5 hours of exercise daily, simulated training with heavy lifting; 2-Brush the thick coat three times a week to prevent knotting. 3-Control diet to prevent obesity (joint pressure)","hip dysplasia, elbow dysplasia, gastric torsion",working,large,3,5,5,Yes
Samoyed dog,Samoyed,"native to siberia, white thick, smiley face, lively personality, good at pulling sleds",Siberia (Russia),12-14 years,16-30,48-60,"Lively, family, cheerful","1. 2 hours of exercise per day, suitable for outdoor games; 2-Brush the white coat three times a week to prevent dirt. 3-Regularly clean the ear canal to prevent infection (dense ear hair)","hip dysplasia, progressive retinal atrophy, hypothyroidism",working,medium,3,5,4,Yes
The Greenland Dog,Greenland Dog,"Native to Greenland, medium size, thick hair, adaptable to extremely cold environment, good at sledding",Greenland (Denmark),12-15 years,20-30,55-60,"Tough, loyal, lively","1. 3 hours of exercise daily, outdoor running in cold weather; 2-Brush the thick coat 2-3 times a week to keep warm. 3 Adapt to warm environment to prevent heat stroke","hip dysplasia, progressive retinal atrophy, skin problems",working,medium,3,4,5,Yes
Canadian Eskimo Dog,Canadian Eskimo Dog,"Originating from Canada, large size, thick hair, strong sled pulling ability, calm personality",Canada,10-15 years,30-40,58-70,"Steady, loyal, tenacious","1. 2.5 hours of exercise daily, heavy lifting training; 2-Brush and remove hair three times a week. 3 .Strict training to prevent freedom","hip dysplasia, elbow dysplasia, gastric torsion",working,large,3,5,5,Yes
Alaskan Klykee,Alaskan Klee Kai,"A mini variant of the Alaskan sled dog, small in size, dense in fur, and lively in character, suitable for companionship",United States,12-16 years,4-10kg,33-43,"Lively, family, clingy","1. 1 hour of exercise per day, suitable for apartments; 2-Brush the quilt twice a week to keep it clean. 3 Avoid excessive indulgence and prevent willfulness","hip dysplasia, progressive retinal atrophy, dental problems",working,small,3,4,3,Yes
German Doberman (Black),Doberman Pinscher (Black),"Classic Doberman variant, black brown color, strong body, brave personality, excellent guard dog",Germany,10-13 years,30-40,66-72,"Courage, loyalty, obedience","1. 2 hours of exercise daily, guard + obedience training; 2-Brush short hair 1-2 times a week for cleaning. 3 .Ear and tail removal (optional) to avoid infection","hip dysplasia, dilated cardiomyopathy, hypothyroidism",working,large,5,2,5,No
German Doberman (red),Doberman Pinscher (Red),"Doberman rare variant, reddish brown color, similar to the black variant, more elegant",Germany,10-13 years,30-40,66-72,"Graceful, brave, loyal","1. 2 hours of exercise daily, obedience + agility training; 2-Brush short hair 1-2 times a week and pay attention to sun protection. 3 Regularly check the heart to prevent cardiomyopathy","hip dysplasia, dilated cardiomyopathy, progressive retinal atrophy",working,large,5,2,5,No
Rottweiler dog,Rottweiler,"Originating from Germany, with a strong body, short and black brown coat, stable character, strong guarding ability",Germany,8-Ten years,35-60,56-69,"Steady, loyal, brave","1. 2 hours of exercise daily, guard + strength training; 2-Brush and remove short hair once a week. 3 .Strictly socialized from a young age to prevent aggression","hip dysplasia, elbow dysplasia, dilated cardiomyopathy",working,large,4,2,4,No
Casrow Dog,Cane Corso,"Originating from Italy, large body, short and smooth coat, stable personality, is a top-class guard dog",Italy,10-12 years,40-50,60-68,"Steady, loyal, vigilant","1. 2 hours of exercise daily, outdoor guard training; 2-Brush short hair once a week to keep it clean. 3 Strict training to prevent attacks against strangers","hip dysplasia, elbow dysplasia, gastric torsion",working,large,3,2,4,No
Naples Mastiff,Neapolitan Mastiff,"Originating from Italy, large body, short and smooth coat, steady character, strong guarding ability",Italy,8-Ten years,50-70,60-75,"calm, loyal, gentle (to the master)",1. Exercise for 1.5 hours a day to avoid excessive fatigue. 2-Brush short hair once a week and pay attention to skin wrinkles. 3 Control diet to prevent obesity,"Poor hip development, poor elbow development, heart problems",working,large,2,2,3,No
Bulldog Mastiff,Bullmastiff,"Bulldog and Mastiff hybrid breed, large size, short coat, brave character, strong guarding ability",United Kingdom,8-Ten years,45-60,61-69,"Brave, loyal, steady","1. 1.5 hours of exercise daily, strength training; 2-Brush short hair once a week to keep it clean. 3 Early social defense against dog attacks","Poor hip joint development, poor elbow joint development, breathing problems (short nose)",working,large,3,2,3,No
Great Dane (Black),Great Dane (Black),"One of the largest breeds of dogs, black coat, gentle character, known as ""gentle giant""",Germany,7-Ten years,50-90,71-86,"Docile, loyal, steady","1. Exercise for 1.5 hours a day, avoid intense (joint pressure); 2-Brush and remove short hair once a week. 3. Provide large space to avoid crowding","Hip joint dysplasia, elbow joint dysplasia, gastric torsion (high incidence)",working,large,3,2,3,Yes
Great Dane (blue),Great Dane (Blue),"The Great Dane is a rare variant, with blue coat and similar character to the black variant, making it more unique",Germany,7-Ten years,50-90,71-86,"Stable, docile, loyal","1. 1.5 hours of exercise per day, suitable for slow walking; 2-Brush short hair once a week and pay attention to skin care. 3. Regularly check the heart to prevent cardiomyopathy","hip dysplasia, elbow dysplasia, gastric torsion",working,large,3,2,3,Yes
Great Dane (stained),Great Dane (Harlequin),"Great Dane is a common variant, with a mottled coat, and a lively personality, suitable for family companions",Germany,7-Ten years,50-90,71-86,"Lively, docile, family","1. 1.5 hours of exercise daily, gentle games; 2-Brush short hair once a week to keep it clean. 3 Avoid jumping at heights to prevent joint injuries","hip dysplasia, elbow dysplasia, progressive retinal atrophy",working,large,3,2,3,Yes
St. Bernard Dog,St. Bernard,"native to Switzerland, large body, thick hair, good at rescue, docile personality",Switzerland,8-Ten years,50-90,65-90,"Docile, loyal, family","1. 1.5 hours of exercise per day, suitable for slow walking; 2-Brush the thick coat 2-3 times a week to prevent knotting. 3 Control diet to prevent obesity and joint problems","hip dysplasia, elbow dysplasia, gastric torsion",working,large,2,4,3,Yes
Bourne Mountain Dog,Bernese Mountain Dog,"Originating from Switzerland, large size, black brown and white coat, gentle personality, suitable for family companions",Switzerland,6-Eight years,36-50,58-70,"Docile, loyal, family","1. 2 hours of exercise daily, outdoor walking + games; 2-Brush the coat 2-3 times a week, increasing the frequency during the shedding period. 3. Regularly check for cancer (high incidence)","Dysplasia of the hip joint, dysplasia of the elbow joint, cancer (osteosarcoma)",working,large,4,3,4,Yes
Swiss Bern Mountain Dog,Swiss Bernese Mountain Dog,"The native Swiss variant of the Bernese Mountain Dog, slightly smaller in size, thicker fur, and more stable in character",Switzerland,6-Eight years,36-50,58-70,"Stable, loyal, docile","1. 1.5 hours of exercise per day, family activities; 2-Brush the quilt three times a week to keep it clean. 3. Avoid damp environments to prevent skin problems","hip dysplasia, progressive retinal atrophy, hypothyroidism",working,large,4,3,3,Yes
Newfoundland Dogs,Newfoundland,"Originating from Canada, large size, thick hair, waterproof, good at swimming rescue, gentle personality",Canada,8-Ten years,45-68,66-71,"Docile, loyal, family","1. 2 hours of exercise every day, increase swimming activities; 2-Brush the thick coat 2-3 times a week to prevent knotting. 3 Clean your ears regularly to prevent infection","hip dysplasia, elbow dysplasia, heart disease",working,large,3,4,4,Yes
Portuguese Water Dog,Portuguese Water Dog,"Originating from Portugal, medium-sized body, curly hair, waterproof, good at water rescue, lively personality",Portugal,10-14 years,16-27,43-58,"Lively, smart, loyal","1. 2 hours of exercise per day, including swimming; 2-Brush the curled quilt twice a week to prevent knotting. 3 Regularly trim hair to protect against water","hip dysplasia, progressive retinal atrophy, hypothyroidism",working,medium,4,3,5,Yes
Standard Poodle (Black),Standard Poodle (Black),"Poodle standard size, black coat, high IQ, good at various training, lively personality",Germany / France,12-15 years,20-32,38-60,"Smart, lively, loyal","1. 2 hours of exercise daily, obedience + agility training; 2-Trim the fur (modeling) 1-2 times a week. 3 Regularly clean the ear canal to prevent infection","hip dysplasia, cataracts, epilepsy",NON-sporting,medium,5,1,4,Yes
Standard Poodle (White),Standard Poodle (White),"Standard Poodle common variant, white coat, gentle personality, suitable for display and companionship",Germany / France,12-15 years,20-32,38-60,"Docile, smart, family","1. 2 hours of exercise daily, family games; 2-Trim the coat 1-2 times a week to keep it white. 3. Avoid dirty environments and prevent staining","hip dysplasia, cataracts, skin allergies",NON-sporting,medium,5,1,4,Yes
Standard Poodle (Brown),Standard Poodle (Brown),"Standard Poodle common variant, brown coat, lively personality, suitable for interactive training",Germany / France,12-15 years,20-32,38-60,"Lively, smart, loyal","1. 2 hours of exercise every day, recovery training; 2-Trim the fur once a week to protect the shape. 3. Regularly check the skin to prevent fungal infections","hip dysplasia, cataracts, hypothyroidism",NON-sporting,medium,5,1,4,Yes
Mini Poodle,Miniature Poodle,"Poodle mini-sized, with a variety of coats, lively personality, suitable for apartment breeding",Germany / France,12-15 years,6-9Kg,28-38,"Lively, clingy, smart","1. 1.5 hours of exercise daily, indoor games; 2-Trim the fur once a week for easy maintenance. 3 Avoid excessive indulgence and prevent willfulness","Patellar dislocation, cataracts, dental problems",NON-sporting,small,5,1,3,Yes
Toy Poodle,Toy Poodle,"Poodle toy size, the smallest Poodle variant, clingy personality, suitable for companions",Germany / France,12-15 years,3-6 KG,24-28,"Sticky, smart, docile","1. 1 hour of exercise per day, indoor interaction; 2-Trim the quilt once a week to maintain a compact shape. 3 Pay attention to keeping warm and avoiding cold","Patellar dislocation, cataracts, hypoglycemia (puppies)",NON-sporting,small,5,1,2,Yes
French Bulldog (Black),French Bulldog (Black),"Classic fighting variant, black fur, short and strong, gentle personality, suitable for apartment breeding",France,10-12 years,8-14kg,27-35,"Docile, clingy, cheerful","1. Exercise for 1 hour daily, avoid intense (short nose hypoxia); 2-Brush and remove short hair once a week. 3. Pay attention to heat dissipation and prevent heatstroke","Respiratory problems (short nose syndrome), skin fold infection, patellar dislocation",NON-sporting,small,3,2,2,Yes
French Bulldog (Tiger Spot),French Bulldog (Brindle),"Common variants of French fighting, tiger-striped hair, lively personality, suitable for family companions",France,10-12 years,8-14kg,27-35,"Lively, family, docile","1. Exercise for 1 hour daily, take a slow walk; 2-Brush short hair once a week to keep it clean. 3 Regularly clean skin folds to prevent infection","Respiratory problems, skin fold infections, hip dysplasia",NON-sporting,small,3,2,2,Yes
French Bulldog (Cream),French Bulldog (Cream),"The rare variant of the French fighting, cream-colored fur, gentle character, higher price",France,10-12 years,8-14kg,27-35,"Docile, clingy, quiet","1. 1 hour of exercise daily, indoor games; 2-Brush short hair once a week and pay attention to sun protection for the skin. 3 Control diet to prevent obesity","Respiratory problems, skin fold infections, eye problems (cherry eyes)",NON-sporting,small,3,2,2,Yes
British Bulldog (red),English Bulldog (Red),"Common variants of Heroes, red coat, strong body, steady personality, suitable for families",United Kingdom,8-Ten years,18-25,31-40,"Stable, docile, loyal","1. Exercise for 1 hour every day, avoid strenuous exercise; 2-Brush and remove short hair once a week. 3 Regularly clean skin folds to prevent infection","Respiratory problems, skin fold infections, hip dysplasia",NON-sporting,medium,2,2,2,Yes
British Bulldog (white),English Bulldog (White),"Common variant of Hero, white coat, gentle personality, suitable for companions",United Kingdom,8-Ten years,18-25,31-40,"Docile, family, quiet","1. Exercise for 1 hour daily, take a slow walk; 2-Brush short hair once a week and pay attention to sun protection. 3 Avoid high temperature environment to prevent heat stroke","Respiratory problems, skin fold infections, deafness (high incidence in white)",NON-sporting,medium,2,2,2,Yes
British Bulldog (tiger spot),English Bulldog (Brindle),"Common variants of Heroes, tiger-spotted fur, lively personality, suitable for interaction",United Kingdom,8-Ten years,18-25,31-40,"Lively, docile, family","1. 1 hour of exercise daily, family games; 2-Brush short hair once a week to keep it clean. 3 Control diet to prevent obesity","Respiratory problems, skin fold infections, eye problems",NON-sporting,medium,2,2,2,Yes
Boston terrier,Boston Terrier,"Native to the United States, small size, black and white coat, lively personality, suitable for apartment breeding",United States,11-13 years,4-11KG,30-43,"Lively, family, smart","1. 1 hour of exercise daily, indoor games; 2-Brush and remove short hair once a week. 3 Pay attention to breathing and avoid intense exercise in high temperatures","Respiratory problems, eye problems (cataracts), patellar dislocation",NON-sporting,small,4,2,2,Yes
Barley Town Dog (spotted dog),Dalmatian,"Originating from Yugoslavia, medium-sized, white-coated black spots, lively personality, good at pulling carts",Republic of Croatia,10-13 years,20-32,56-61,"Lively, smart, loyal","1. 2 hours of exercise every day, running + games; 2-Brush short hair once a week to keep it clean. 3 Early training to prevent excessive excitement","hip dysplasia, deafness (high incidence of spots), uric acid stones",NON-sporting,medium,4,2,5,Yes
Chinese Sharpi Dog,Chinese Shar-Pei,"Chinese native dog, medium size, with a wrinkled skin, short and hard coat, steady character",China,8-12 years,16-25,46-51,"Steady, loyal, vigilant","1. Exercise for 1 hour daily, take a slow walk; 2-Brush short hair once a week, focusing on cleaning wrinkles. 3 Regularly check the skin to prevent infection","Skin fold infection, hip joint dysplasia, eye diseases (eyelid inversion)",NON-sporting,medium,2,2,2,No
Pine Lion Dog (Brown),Chow Chow (Brown),"Chinese native dog, medium size, thick coat, blue tongue, steady character",China,9-15 years,20-32,46-56,"Steady, loyal, independent","1. 1.5 hours of exercise daily, outdoor walking; 2-Brush the thick coat 2-3 times a week, and comb it daily during the shedding period. 3 Early social defense against apathy towards strangers","hip dysplasia, progressive retinal atrophy, hypothyroidism",NON-sporting,medium,2,5,3,No
Pine Lion Dog (Black),Chow Chow (Black),"The common variant of the pine lion dog, black coat, similar to the brown variant, more stable",China,9-15 years,20-32,46-56,"Steady, loyal, independent","1. 1.5 hours of exercise per day, family activities; 2-Brush the quilt 2-3 times a week to keep it clean. 3 Avoid excessive bathing to prevent dry skin","hip dysplasia, progressive retina atrophy, skin allergies",NON-sporting,medium,2,5,3,No
Pine Lion Dog (White),Chow Chow (White),"Pine Lion Dog rare variety, white coat, gentle character, suitable for companions",China,9-15 years,20-32,46-56,"Docile, loyal, family","1. 1.5 hours of exercise daily, slow walking; 2-Brush the coat three times a week to prevent dirt. 3 Pay attention to oral hygiene and brush your teeth regularly","hip dysplasia, progressive retinal atrophy, dental problems",NON-sporting,medium,2,5,3,No
Finnish Pomeranian hair dog,Finnish Pomeranian-Spitz,"Originating from Finland, small in size, long and silky hair, lively personality, suitable for companions",Finland,12-15 years,3-6 KG,25-30,"Lively, clingy, smart","1. 1 hour of exercise daily, indoor games; 2-Brush long hair 2-3 times a week to prevent knotting. 3 Avoid excessive grooming to prevent hair breakage","Patellar dislocation, cataracts, skin allergies",NON-sporting,small,4,4,2,Yes
Dutch Lion Dog,Keeshond,"Originating from Holland, medium size, thick hair, lively personality, suitable for family",Netherlands,12-15 years,14-18,43-48,"Lively, smart, family","1. 1.5 hours of exercise and outdoor games per day; 2-Brush the coat 2-3 times a week, increasing the frequency during the shedding period. 3 Early training to prevent barking","hip dysplasia, progressive retinal atrophy, hypothyroidism",NON-sporting,medium,4,4,3,Yes
American Eskimo Dog (Standard),American Eskimo Dog (Standard),"Native to the United States, medium-sized, thick white fur, lively personality, good at acting",United States,12-15 years,11-16kg,46-58,"Lively, smart, family","1. 2 hours of exercise daily, agility training; 2-Brush the coat 2-3 times a week to keep it white. 3. Avoid damp environments to prevent skin problems","hip dysplasia, progressive retinal atrophy, hypothyroidism",NON-sporting,medium,4,4,4,Yes
American Eskimo Dog (Mini),American Eskimo Dog (Miniature),"A mini-sized American Eskimo dog, suitable for apartment breeding, with a clingy personality",United States,12-15 years,6-10Kg,38-48,"Sticky, lively, smart","1. 1 hour of exercise daily, indoor interaction; 2-Brush and remove hair twice a week. 3 Give enough attention to prevent separation anxiety","Patellar dislocation, cataracts, dental problems",NON-sporting,small,4,4,3,Yes
American Eskimo Dog (toy type),American Eskimo Dog (Toy),"The smallest American Eskimo dog, gentle and suitable for companionship",United States,12-15 years,2.5-4.5,23-30,"Docile, clingy, smart","1. 1 hour of exercise daily, indoor games; 2-Brush the quilt twice a week to keep it clean. 3 Pay attention to keeping warm and avoiding cold","Patellar dislocation, cataract, hypoglycemia",NON-sporting,small,4,4,2,Yes
Shiba Inu (red),Shiba Inu (Red),"Japanese native dog, small in size, red coat, lively character, good at hunting",Japan,12-15 years,6-10Kg,35-41,"Lively, loyal, independent","1. 1.5 hours of exercise daily, outdoor walking + recovery; 2-Brush short hair 1-2 times a week, increasing the frequency during the shedding period. 3 Training to avoid stubbornness in a positive way","hip dysplasia, progressive retinal atrophy, hypothyroidism",NON-sporting,small,3,3,3,Yes
Shiba Inu (Black),Shiba Inu (Black & Tan),"A rare variety of Shiba Inu, black fur, similar to the red variety, more stable",Japan,12-15 years,6-10Kg,35-41,"Steady, loyal, independent","1. 1.5 hours of exercise per day, family activities; 2-Brush short hair 1-2 times a week for cleaning. 3. Regularly check the skin to prevent allergies","hip dysplasia, progressive retinal atrophy, skin problems",NON-sporting,small,3,3,3,Yes
Shiba Inu (white),Shiba Inu (Cream/White),"Shiba Inu common variant, white coat, gentle personality, suitable for companions",Japan,12-15 years,6-10Kg,35-41,"Docile, family, lively","1. 1.5 hours of exercise daily, indoor games; 2-Brush short hair once a week and pay attention to sun protection. 3 Avoid excessive indulgence and prevent willfulness","hip dysplasia, progressive retinal atrophy, dental problems",NON-sporting,small,3,3,3,Yes
